Driver,AvgSoftTime,AvgMediumTime,AvgHardTime,SoftDeg,MediumDeg,HardDeg,TotalLaps,TopSpeed,QualiTime,Sector1,Sector2,Sector3,DeltaToPole,QualiPosition,FinishPosition
NOR,97.828,76.137666,,,,,17,326,71.755,21.27,28.709,21.776,0.20899999999998897,2,2
TSU,104.230333,75.095,,,,,12,324,73.385,21.804,29.379,22.202,1.8389999999999986,20,20
OCO,96.4424,,,,,,12,324,73.201,21.68,29.261,22.26,1.654999999999987,17,17
BOR,97.877,76.116,,,,,14,328,72.756,21.556,29.102,22.098,1.2099999999999937,12,12
GAS,90.929333,77.2932,,,0.4609999999999985,,19,330,72.199,21.594,28.747,21.858,0.6529999999999916,8,8
COL,90.721333,91.508,,,,,18,327,73.334,21.768,29.361,22.205,1.7879999999999967,19,19
HUL,97.532,78.3748,,,,,17,330,73.19,21.713,29.182,22.295,1.6439999999999912,16,16
STR,89.073,74.9845,,,,,19,323,73.038,21.604,29.299,22.135,1.4919999999999902,14,14
ALO,88.598,74.114,,,,,16,323,72.284,21.633,28.879,21.772,0.7379999999999995,10,10
BEA,95.235666,,,,,,12,324,73.074,21.666,29.236,22.172,1.5279999999999916,15,15
SAI,83.74,,,,,,16,326,73.203,21.571,29.37,22.262,1.6569999999999965,18,18
LAW,103.885,106.752333,,,,,19,324,72.763,21.693,29.083,21.987,1.2169999999999987,13,13
VER,94.66575,103.801,,,,,15,326,71.848,21.464,28.704,21.68,0.3019999999999925,4,4
HAD,91.593,81.365666,,,,,18,325,72.252,21.564,28.822,21.866,0.7059999999999889,9,9
ANT,84.9245,,,,,,12,327,72.111,21.524,28.74,21.847,0.5649999999999977,6,6
LEC,92.94125,,,0.8943333333333309,,,18,327,72.131,21.458,28.729,21.944,0.5849999999999937,7,7
ALB,,,,,,,6,129,72.641,21.465,29.111,22.065,1.0949999999999989,11,11
HAM,89.791,76.395666,,,,,18,328,72.045,21.547,28.7,21.798000000000002,0.4989999999999952,5,5
RUS,83.515333,,,,,,19,328,71.848,21.376,28.719,21.753,0.3019999999999925,3,3
PIA,101.8235,75.703666,,,,,15,326,71.546,21.259,28.58,21.707,0.0,1,1
